county_fips,aor
06079,Los Angeles
06081,San Francisco
06091,San Francisco
06067,San Francisco
06107,San Francisco
06069,San Francisco
36005,New York City
36119,New York City
36053,Buffalo
36029,Buffalo
48287,Houston
36091,Buffalo
36031,Buffalo
48037,Dallas
48273,Harlingen
48229,El Paso
48419,Houston
48301,El Paso
06007,San Francisco
06047,San Francisco
36113,Buffalo
36017,Buffalo
36051,Buffalo
48339,Houston
48029,San Antonio
48245,Houston
48457,Houston
48157,Houston
48139,Dallas
48499,Dallas
48041,Houston
48459,Dallas
48343,Dallas
48393,Dallas
48289,Houston
48349,Dallas
48185,Houston
48467,Dallas
48125,Dallas
48105,Dallas
48415,Dallas
48379,Dallas
48261,Harlingen
06109,San Francisco
06059,Los Angeles
06037,Los Angeles
06087,San Francisco
06097,San Francisco
06041,San Francisco
06001,San Francisco
06003,San Francisco
06061,San Francisco
06057,San Francisco
36063,Buffalo
36045,Buffalo
06113,San Francisco
36047,New York City
36075,Buffalo
36071,New York City
48213,Dallas
48355,Harlingen
48427,Harlingen
48409,Harlingen
48039,Houston
48443,El Paso
48211,Dallas
48067,Dallas
06019,San Francisco
06105,San Francisco
06089,San Francisco
06115,San Francisco
06011,San Francisco
48387,Dallas
48219,Dallas
48127,San Antonio
48471,Houston
48089,Houston
48131,Harlingen
48475,El Paso
48225,Houston
48347,Houston
48153,Dallas
48469,Houston
48223,Dallas
48025,Houston
48119,Dallas
48455,Houston
48015,Houston
48151,Dallas
48407,Houston
48405,Houston
48477,Houston
48435,Dallas
48071,Houston
48377,El Paso
48087,Dallas
48269,Dallas
48345,Dallas
06065,Los Angeles
06013,San Francisco
06023,San Francisco
36061,New York City
36059,New York City
36111,New York City
48061,Harlingen
06073,San Diego
06053,San Francisco
06045,San Francisco
06017,San Francisco
06093,San Francisco
48473,Houston
48161,Houston
48453,San Antonio
48495,El Paso
48491,San Antonio
48423,Dallas
48461,El Paso
48373,Houston
48241,Houston
48449,Dallas
48389,El Paso
48437,Dallas
48173,Dallas
06039,San Francisco
06033,San Francisco
36077,Buffalo
36067,Buffalo
06111,Los Angeles
06101,San Francisco
36013,Buffalo
36009,Buffalo
36105,New York City
36065,Buffalo
48361,Houston
48167,Houston
48007,Harlingen
48465,San Antonio
48403,Houston
48315,Dallas
06021,San Francisco
06043,San Francisco
48257,Dallas
48277,Dallas
48005,Houston
48507,San Antonio
48401,Dallas
48003,El Paso
