detention_facility_code,name,address_full,city,county,county_fips_code,state,state_fips_code,latitude,longitude,field_office
IWAHOLD,AZ Removal Operation Coord Center (Arocc),"6335 South Downwind, Suite 104, Mesa, AZ 85212",Mesa,Maricopa,04013,AZ,04,33.30339444,-111.6627399,Phoenix
ABRXSPA,Abraxas Academy,"1000 Academy Drive, Morgantown, PA 19543",Morgantown,Berks,42011,PA,42,40.19181355,-75.91580532,Philadelphia
ADAMSMS,Adams County Correctional Center,"20 Hobo Forks Road, Natchez, MS 39120",Natchez,Adams,28001,MS,28,31.55764769,-91.22127871,New Orleans
ADDCOVT,Addison County Jail,"35 Court Street, Middlebury, VT 05753",Middlebury,Addison,50001,VT,50,44.01144984,-73.16365678,Boston
ADLNTCA,Adelanto ICE Processing Center,"10400 Rancho Road, Adelanto, CA 92301",Adelanto,San Bernardino,06071,CA,06,34.55993666,-117.4388741,Los Angeles
ADVHBCA,Adventist Health Bakersfield,"2615 Chester Avenue, Bakersfield, CA 93301",Bakersfield,Kern,06029,CA,06,35.38320895,-119.0205378,San Francisco
ADVHCHI,Adventist Health Castle,"640 Ulukahiki St, Kailua, HI 96734",Kailua,Honolulu,15003,HI,15,21.38062035,-157.7576827,San Francisco
ADVHDCA,Adventist Health Delano,"1401 Garces Highway, Delano, CA 93215",Delano,Kern,06029,CA,06,35.76232272,-119.2389025,San Francisco
AGAHOLD,Agana INS,,,,,GU,,,,
AGC,Aguadilla Service Processing Center,"Corner Of Belt Rd And Gun Club St., Aguadilla, PR 00604",Aguadilla,Aguadilla,72005,PR,72,18.49562533,-67.14344217,Miami
ALAMCNC,Alamance County Detention Center,"109 South Maple Street, Graham, NC 27253",Graham,Alamance,37001,NC,37,36.06825389,-79.40362386,Atlanta
ALAMOTX,Alamo Police Department,"423 N Tower Road, Alamo, TX 78516",Alamo,Hidalgo,48215,TX,48,26.18684613,-98.11078218,Harlingen
ALMHOLD,Alamosa Hold Room,"1921 State Street, Alamosa, CO 81101",Alamosa,Alamosa,08003,CO,08,37.45111503,-105.8659922,Denver
ALBHOLD,Albany Hold Room,,,,,NY,,,,
ABQHOLD,Albuquerque Hold Room,,,,,NM,,,,
ALEXAVA,Alexandria City Jail,"2001 Mill Rd, Alexandria, VA 22314",Alexandria,Alexandria,51510,VA,51,38.79792346,-77.06462629,Washington
JENATLA,Alexandria Staging Facility,"96 George Thompson Dr., Alexandria, LA 71303",Alexandria,Rapides,22079,LA,22,31.3175636,-92.53649027,New Orleans
ALLEGNY,Allegany County Jail,"4884 State Route 19, Belmont, NY 14813",Belmont,Allegany,36003,NY,36,42.2125682,-78.01703328,Buffalo
ALLEGVA,Alleghany County Jail,"268 West Main Street, Covington, VA 24426",Covington,Covington,51580,VA,51,37.7927241,-79.99578035,Washington
APPSCLA,Allen Parish Public Safety Complex,"7340 Highway 26 W, Oberlin, LA 70655",Oberlin,Allen,22003,LA,22,30.62356505,-92.78271897,New Orleans
AHGRFND,Altru Hospital Grand Forks,"1200 S Columbia Rd, Grand Forks, ND 58201",Grand Forks,Grand Forks,38035,ND,38,47.91064662,-97.06872998,St Paul
APIBHCA,Alvarado Parkway Institute,"7050 Parkway Dr, La Mesa, CA 91942",La Mesa,San Diego,06073,CA,06,32.77458776,-117.0441556,San Diego
AMTHOLD,Amarillo Hold Room,,,,,TX,,,,
AMHERVA,Amherst County Jail,"219 South Riverview Road, Madison Heights, VA 24572",Madison Heights,Amherst,51009,VA,51,37.40853902,-79.09350065,Washington
AGMDCCA,Anaheim Global Medical Center,"1025 S Anaheim Blvd, Anaheim, CA 92805",Anaheim,Orange,06059,CA,06,33.81984189,-117.9092551,Los Angeles
ANCHOAK,Anchorage Correctional Complex,"1400 E Fourth Ave, Anchorage, AK 99501",Anchorage,Anchorage,02020,AK,02,61.21848468,-149.8568744,Seattle
ANCHOLD,Anchorage Sub-Office Hold Room,"620 East 10th Avenue, Anchorage, AK 99501",Anchorage,Anchorage,02020,AK,02,61.21236695,-149.8722869,Seattle
ANSGHTX,Anson General Hospital,"101 Avenue J, Anson, TX 79501",Anson,Jones,48253,TX,48,32.76791074,-99.89514243,Dallas
AKANVIL,"Anvil Mountain Correctional Institution, Nome","1810 Center Creek, Nome, AK 99762",Nome,Nome,02180,AK,02,64.5376119,-165.4121958,Seattle
ARAPACO,Arapahoe County Jail,"7375 S. Potomac St., Centennial, CO 80112",Centennial,Arapahoe,08005,CO,08,39.58144095,-104.8326118,Denver
AZSVCPC,Arizona State Prison - Yuma,"7125 E Cesar Chavez Blvd, San Luis, AZ 85349",San Luis,Yuma,04027,AZ,04,32.50243458,-114.6465752,Phoenix
ARRMCCA,Arrowhead Regional Medical Center,"400 N. Pepper Avenue, Colton, CA 92324",Colton,San Bernardino,06071,CA,06,34.07398698,-117.351356,Los Angeles
AFRC,Artesia Family Residential Center,"1300 W. Richey Avenue, Artesia, NM 88210",Artesia,Eddy,35015,NM,35,32.85731048,-104.4129082,El Paso
ATTHOLD,"Athens, TX Hold Room",,,,,TX,,,,
ATLHOLD,Atlanta District Hold Room,"180 Ted Turner Drive, SW, Atlanta, GA 30303",Atlanta,Fulton,13121,GA,13,33.74958147,-84.39736522,Atlanta
ATLANGA,Atlanta Pretrial Detention Center,"254 Peachtree Street Southwest, Atlanta, GA 30303",Atlanta,Fulton,13121,GA,13,33.74728512,-84.39542925,Atlanta
AUSHOLD,Austin Detention and Removal Operations Hold Room,,,,,TX,,,,
BIINCCO,"BI Incororated, Geo Group Company","3130 Oakland St, Aurora, CO 80010",Aurora,Adams,08001,CO,08,39.76087267,-104.8491804,Denver
ABIRJVA,BRRJ Abingdon,"15205 Joe Derting Dr, Abingdon, VA 24210",Abingdon,Washington,51191,VA,51,36.73258655,-81.91168152,Washington
HLFRJVA,BRRJ Halifax,"1010 Blue Ridge Lane, Halifax, VA 24558",Halifax,Halifax,51083,VA,51,36.76491657,-78.92995941,Washington
LYNRJVA,BRRJ Lynchburg,"510 9th St, Lynchburg, VA 24504",Lynchburg,Lynchburg,51680,VA,51,37.41283622,-79.14506302,Washington
FLBAKCI,Baker CI,"20706 Fl-10, Sanderson, FL 32087",Sanderson,Baker,12003,FL,12,30.21764047,-82.36717399,Miami
BAKERFL,Baker County Detention Center,"1 Sheriff's Office Drive, Macclenny, FL 32063",Macclenny,Baker,12003,FL,12,30.29585011,-82.12157801,Miami
BKLHOLD,Bakerfield Hold,,,,,CA,,,,
BALDWAL,Baldwin County Correctional Center,"200 Hand Ave., Bay Minette, AL 36507",Bay Minette,Baldwin,01003,AL,01,30.88542951,-87.77481125,New Orleans
BALHOLD,Baltimore Hold Room,"31 Hopkins Plaza 6th Floor, Baltimore, MD 21201",Baltimore,Baltimore,24510,MD,24,39.28809309,-76.61669655,Baltimore
BIMDCAZ,Banner Ironwood Medical Center,"37000 N Gantzel Rd, Queen Creek, AZ 85140",Queen Creek,Pinal,04021,AZ,04,33.21459325,-111.5655306,Phoenix
BNMCTAZ,Banner Medical Center Tucson,"1625 N Campbell Ave, Tucson, AZ 85719",Tucson,Pima,04019,AZ,04,32.24189358,-110.9463954,Phoenix
BANHOAZ,Banner University Medical Phoenix,"1111 E Mcdowell Rd 11th Floor, Phoenix, AZ 85006",Phoenix,Maricopa,04013,AZ,04,33.46461231,-112.0596058,Phoenix
BMCSATX,Baptist Medical Center,"111 Dallas Street, San Antonio, TX 78205",San Antonio,Bexar,48029,TX,48,29.4336342,-98.49266839,San Antonio
BRLHOAK,Bartlett Regional Hospital,"3260 Hospital Dr, Juneau, AK 99801",Juneau,Juneau,02110,AK,02,58.32899842,-134.4646689,Seattle
BARTOGA,Bartow County Jail,"104 Zena Dr, Cartersville, GA 30121",Cartersville,Bartow,13015,GA,13,34.19115492,-84.77817847,Atlanta
CMDHOLD,Batavia Command Center Hold Room,,,,,NY,,,,
BAYCOFL,Bay County,"5700 Star Lane, Panama City, FL 32404",Panama City,Bay,12005,FL,12,30.22608007,-85.56210812,Miami
BAYAMPR,Bayamon Hospital,"100 Laurel Avenue, Bayamon, PR 00956",Bayamon,Bayamón,72021,PR,72,18.36788498,-66.15406202,Miami
BSTAYTX,Baylor Scott White MD Center,"305 Mallard Ln, Taylor, TX 76574",Taylor,Williamson,48491,TX,48,30.59101955,-97.41537909,San Antonio
BEDCITX,Bedford City Jail,"2121 L Don Dodson Drive, Bedford, TX 76021",Bedford,Tarrant,48439,TX,48,32.8421008,-97.13128261,Dallas
BELCOTX,Bell County Jail,"1201 Huey Rd, Belton, TX 76513",Belton,Bell,48027,TX,48,31.03740252,-97.48836687,Houston
BEHOSNY,"Bellevue Hospital, Manhattan","462 1st Avenue, New York, NY 10016",New York,New York,36061,NY,36,40.73954825,-73.97633468,New York City
BERNANM,Bernalillo County Detention Center,"400 Roma Ave NW, Albuquerque, NM 87102",Albuquerque,Bernalillo,35001,NM,35,35.08924662,-106.650944,El Paso
