facility_name,number_of_detentions,state,county,facility_code_do_not_edit
NEW/INS OS HOLD ROOM,1718,,,NEWHOLD
HEL DISTRICT CUSTODY,364,,,HELHOLD
PDN HOLD ROOM,267,,,PDNHOLD
HAMPTON INN PHO AIRPORT N,191,AZ,,HIPANAZ
SURESTAY HOTEL BEST WEST,167,TX,,SSHBWTX
BEST WEST ROSE GRDN I&S,116,TX,,BWRGMTX
LA QUINTA INN BY WYNDHAM SNA,95,TX,,LQSNATX
HOLIDAY INN & STE PHO AP,87,AZ,,HISPAAZ
GREAT PLAINS CI HOLDROOM,69,,,GPCHOLD
SAN PEDRO PENINSULA HOSPITAL,68,CA,,SPHOSCA
DRURY INN & STES SNA AP,58,TX,,DISSATX
STAYBRIDGE STE PHO  B A,45,AZ,,SSPBAAZ
COMPASS HOUSE SHELTER,32,NY,,CMPJVNY
SLEEP INN SUITES AIRPORT,17,NE,,SISAONE
EMBASSY SUITES BY HILTON,13,NC,,EMBCRNC
HOLIDAY INN PHO DWTN BALLPARK,12,AZ,,HIPDBAZ
ST. JOSEPH'S HOSPITAL,10,CA,,STJOSCA
METHODIST HOSPITAL SOUTH,8,TX,,MTHOSTX
NORTHEAST BAPTIST HOSPITAL,5,TX,,NEBHSTX
COUNTY INN & STE BY RAD,5,LA,,CISPVLA
HOLIDAY INN EXP SNA AP,5,TX,,HOLIETX
US MARSHALS  SDTX,5,TX,,USMS3TX
RAMADA BY WYNDHAM PHO,3,AZ,,RMWYPAZ
SNAKE RIVER JUVENILE,3,ID,,SRJDFID
CENTRO MEDICO HOSPITAL,2,PR,,CMEDHPR
EXTENDED STAY AMERICA,2,AZ,,EXTSAAZ
"NEIGHBOR-FAMILY, STONE MOUNTAIN",2,GA,,NFSMTGA
NEW RIVER VALLEY REG. JAIL,2,VA,,NRVRJVA
HASKELL MEMORIAL HOSPITAL,2,TX,,HASMHTX
UPMC ALTOONA,2,PA,,UPMCAPA
NORTHERN NECK REG. JAIL,2,VA,,NNREGVA
EMBASSY STE HLTN NW I-10,1,TX,,ESHSATX
BAKER CCF,1,AK,,CACFBAK
EMBASSY STE HLTN SNA AP,1,TX,,EMBSATX
LUFKIN POLICE DEPT.,1,TX,,LUFKNTX
IN DEPT. OF CORRECTIONS,1,,,INDCMIC
MCFARLAND CCF,1,,,CACFMCF
EXTENDED STAY AMERICA PHO AP,1,AZ,,ESAPAAZ
NORTH CENTRAL BAPTIST HOSPITAL,1,TX,,NCBHOTX
ST LUKE'S BAPTIST HOSPITAL,1,TX,,SLBHSTX
SONOMA CO MAIN ADULT DET,1,CA,,SONMACA
"US MARSHAL'S, VERMONT",1,VT,,USMVT
