facility_name,facility_code,state_abbr,county_fips,county_name,unusual_flag,unusual_type,notes
(OLD) CENTRAL REGIONAL JAIL,CENTRWV,WV,,,,,
ABBOTT NORTHWESTERN HOSP,ANWHMMN,MN,,,TRUE,hospital,
ABILENE HOLD ROOM,ABTHOLD,TX,,,TRUE,hold_room,
ABILENE REGIONAL MED CTR,ABRMCTX,TX,,,TRUE,hospital,
ABRAXAS ACADEMY DETENTION CENTER,ABRXSPA,PA,,,,,
ADA COUNTY JAIL,ADACOID,ID,,,,,
ADAIR COUNTY REGIONAL JAIL,ADAIRKY,KY,,,,,
ADAMS COUNTY,ADAMSWA,WA,,,,,
ADAMS COUNTY DET CENTER,ADAMSMS,MS,,,,,
ADDISON COUNTY JAIL,ADDCOVT,VT,,,,,
ADELANTO ICE PROCESSING CENTER,ADLNTCA,CA,,,,,
"ADIRONDACK CF, RAYBROOK",NYADIRC,NY,,,,,
ADVENTIST HEALTH BAKERSFIELD,ADVHBCA,CA,,,TRUE,hospital,
AGANA INS,AGAHOLD,GU,,,TRUE,hold_room,
AGUADILLA SPC,AGC,PR,,,,,
"AIRPORT HOTEL, SAJ.",AIRHOPR,PR,,,TRUE,hotel_motel,
ALAMANCE CO. DET. FACILITY,ALAMCNC,NC,,,,,
ALAMO POLICE DEPT.,ALAMOTX,TX,,,,,
ALAMOSA COUNTY JAIL,ALAMOCO,CO,,,,,
ALAMOSA HOLDROOM,ALMHOLD,CO,,,TRUE,hold_room,
ALBANY COUNTY JAIL,ALBCONY,NY,,,,,
ALBANY HOLDROOM,ALBHOLD,NY,,,TRUE,hold_room,
ALBEMARLE-CHARLOTTESVILLE,ALBEMVA,VA,,,,,
ALBUQUERQUE HOLD ROOM,ABQHOLD,NM,,,TRUE,hold_room,
ALEXANDRIA CITY JAIL,ALEXAAL,AL,,,,,
ALEXANDRIA CITY JAIL,ALEXAVA,VA,,,,,
ALEXANDRIA STAGING FACILITY,JENATLA,LA,,,TRUE,staging_processing,
ALHAMBRA BHC HOSPITAL,BHCALCA,CA,,,TRUE,hospital,
ALHAMBRA CITY JAIL,ALHAMCA,CA,,,,,
ALLEGANY COUNTY JAIL,ALLEGNY,NY,,,,,
ALLEGHENY CO. JAIL,ALLEGPA,PA,,,,,
ALLEN COUNTY JAIL,ALLENIN,IN,,,,,
ALLEN PARISH PUBLIC SAFETY COMPLEX,APPSCLA,LA,,,,,
ALLENWOOD (MED) FCI,BOPALM,PA,,,,,
ALVARADO PARKWAY INSTITUTE,APIBHCA,CA,,,,,
AMARILLO HOLD ROOM,AMTHOLD,TX,,,TRUE,hold_room,
ANAHEIM GLOBAL MEDICAL CENTER,AGMDCCA,CA,,,TRUE,hospital,
ANCHORAGE JAIL,ANCHOAK,AK,,,,,
ANCHORAGE SUB-OFFICE HOLD ROOM,ANCHOLD,AK,,,TRUE,hold_room,
ANDERSON COUNTY DET CENTER,ANDERSC,SC,,,,,
ANDREWS SHERRIF'S OFFICE CO JAIL,ANDRWTX,TX,,,,,
ANNE KLEIN PHSYCHIATRIC INSTITUTE,AKPSYNJ,NJ,,,,,
ANSON GENERAL HOSPITAL,ANSGHTX,TX,,,TRUE,hospital,
APACHE CO. JAIL,APACHAZ,AZ,,,,,
ARAPAHOE COUNTY JAIL,ARAPACO,CO,,,,,
ARIZONA SERVICE PRISON COMPLEX,AZSVCPC,AZ,,,,,
ARIZONA STATE PRISON COMP,AZSPFLO,AZ,,,,,
ARLINGTON CO JAIL,ARLCOVA,VA,,,,,
AROOSTOOK COUNTY JAIL,AROOSME,ME,,,,,
ARROWHEAD REGIONAL MED CENTER,ARRMCCA,CA,,,TRUE,hospital,
ARTESIA CITY JAIL,ARTESNM,NM,,,,,
ARTESIA FAMILY RESIDENTIAL CENTER,AFRC,NM,,,,,
ARTESIA LAW ENFORCEMENT CENTER,ARTSINM,NM,,,,,
ASCENSION SETON WILLIAMS HOSP,ASWHRTX,TX,,,TRUE,hospital,
ASHE COUNTY JAIL,ASHECNC,NC,,,,,
"ATHENS, TX HOLD ROOM",ATTHOLD,TX,,,TRUE,hold_room,
ATLANTA DIST. HOLD RM,ATLHOLD,GA,,,TRUE,hold_room,
ATLANTA PRETRIAL DETN CTR,ATLANGA,GA,,,,,
ATLANTIC SHORES HOSPITAL,ASHRSFL,FL,,,TRUE,hospital,
AURORA CITY JAIL,AURORCO,CO,,,,,
AUSTIN DRO HOLD ROOM,AUSHOLD,TX,,,TRUE,hold_room,
AVOYELLES PARISH PRISON,AVPARLA,LA,,,,,
AZ REM OP COORD CENTER (AROCC),IWAHOLD,AZ,,,TRUE,hold_room,
BAKER C. I.,FLBAKCI,FL,,,,,
BAKER CCF,CACFBAK,AK,,,,,
BAKER COUNTY SHERIFF DEPT.,BAKERFL,FL,,,,,
BAKERFIELD HOLD,BKLHOLD,CA,,,TRUE,hold_room,
BALDWIN COUNTY COR. CENTER,BALDWAL,AL,,,,,
BALTIMORE HOLD ROOM,BALHOLD,MD,,,TRUE,hold_room,
BANNER IRONWOOD MED CTR,BIMDCAZ,AZ,,,TRUE,hospital,
BANNER MEDICAL CTR TUCSON,BNMCTAZ,AZ,,,TRUE,hospital,
BAPTIST MEDICAL CENTER,BMCSATX,TX,,,TRUE,hospital,
BARNSTABLE COUNTY,BARNSMA,MA,,,,,
BARRETT HONOR CAMP,BARRECA,CA,,,,,
BARTOW CO JAIL,BARTOGA,GA,,,,,
BATAVIA COMMAND CENTER HOLDROOM,CMDHOLD,NY,,,TRUE,hold_room,
BAYAMON HOSPITAL,BAYAMPR,PR,,,TRUE,hospital,
BAYLOR SCOTT WHITE MD CTR,BSTAYTX,TX,,,,,
BAYLOR SCOTT WHITE MED RR,BSWRRTX,TX,,,,,
BEAVER COUNTY JAIL,BEAVRPA,PA,,,,,
BEDFORD CITY JAIL,BEDCITX,TX,,,,,
BEDFORD HEIGHTS CITY,BEDFOOH,OH,,,,,
BELL COUNTY JAIL,BELCOTX,TX,,,,,
"BELLEVUE HOSPITAL, MANHAT",BEHOSNY,NY,,,TRUE,hospital,
BELLINGHAM BPS ERO HOLDROOM,BLHHOLD,WA,,,TRUE,hold_room,
BELMONT COUNTY JAIL,BELMOOH,OH,,,,,
BERGEN COUNTY JAIL,BERGENJ,NJ,,,,,
BERKS CO. JUVENILE,BEJUVPA,PA,,,TRUE,juvenile_family,
BERKS COUNTY FAMILY SHELTER,BEFAMPA,PA,,,,,
"BERKS COUNTY JAIL, PA",BERKSPA,PA,,,,,
BERKS COUNTY RESIDENTIAL CENTER,BCORCPA,PA,,,,,
BERKS COUNTY SECURED JUVENILE,BESECPA,PA,,,TRUE,juvenile_family,
BERKS HOLD ROOM,BRKHOLD,PA,,,TRUE,hold_room,
BEST WEST ROSE GRDN I&S,BWRGMTX,TX,,,TRUE,hotel_motel,
BEST WESTERN CASA DE ESTRELLA,BWEPATX,TX,,,TRUE,hotel_motel,
BEST WESTERN DRAGON GATE INN,BWDGICA,CA,,,TRUE,hotel_motel,
BEST WESTERN MARINA,BWMARCA,CA,,,,,
BETH ISRAEL DEACONESS HOSP,BIDHPMA,MA,,,TRUE,hospital,
"BETH ISRAEL HOSPITAL, MANHATTAN",ISHOSNY,NY,,,TRUE,hospital,
BEXAR COUNTY WACKENHUT ANNUAL DET.,WCCBXTX,TX,,,,,
BIG SPRING HOLD ROOM,BSCHOLD,TX,,,TRUE,hold_room,
BILLINGS HOLD ROOM,BILHOLD,MT,,,TRUE,hold_room,
BIRMINGHAM HOLD ROOM,BHMHOLD,AL,,,TRUE,hold_room,
BISHOP HENRY WHIPPLE FED BLDG,SPMHOLD,MN,,,TRUE,hold_room,
BLUEBONNET DET FCLTY,BLBNATX,TX,,,,,
BOISE HOLD ROOM,BOIHOLD,ID,,,TRUE,hold_room,
BONNEVILLE CO. JAIL,BONNEID,ID,,,,,
BOONE COUNTY JAIL,BOONEKY,KY,,,,,
BOSQUE COUNTY SHERIFF'S DEPT.,BSQUETX,TX,,,,,
BOSSIER PARISH COR. CENTER,BOSSRLA,LA,,,,,
BOSTON HOLDROOM,BOSHOLD,MA,,,TRUE,hold_room,
BOSTON SPC,BPC,MA,,,,,
BOTTINEAU CO. ND JAIL,BOTTIND,ND,,,,,
BRADENTON DETENTION CENTER,BRADEFL,FL,,,,,
BRADFORD COUNTY JAIL,BRDFDFL,FL,,,,,
"BRANCH CO, COLDWATER, MI",BRANCMI,MI,,,,,
"BREMER CO JAIL, IOWA",BREMEIA,IA,,,,,
BREVARD CORRECTIONAL,FLBREVC,FL,,,,,
BRISTOL CNTY NDARTMOUTH,BRINDMA,MA,,,,,
BROADVIEW SERVICE STAGING,BSAHOLD,IL,,,TRUE,hold_room,
BRONSON HOSPITAL FIELDSTONE CENTER,BHFLDMI,MI,,,TRUE,hospital,
BRONXCARE HEALTH SYSTEM,BXCHSNY,NY,,,TRUE,hospital,
BROOKLYN MDC,BOPBRO,NY,,,,,
BROOKS COUNTY JAIL (CONTRACT),BROKSTX,TX,,,,,
BROOME COUNTY JAIL,BROMMNY,NY,,,,,
BROWARD CORRECTIONAL,BROCRFL,FL,,,,,
BROWARD COUNTY JAIL,BROJAFL,FL,,,,,
BROWARD GENERAL MEDICAL CENTER,BRGMCFL,FL,,,TRUE,hospital,
BROWARD TRANSITIONAL CENTER,WCCPBFL,FL,,,,,
BROWN COUNTY JAIL,BROWNSD,SD,,,,,
BROWN COUNTY JAIL,BROWNWI,WI,,,,,
BROWNSVILLE POLICE DEPT.,BRWNSTX,TX,,,,,
BRUSH HOLDROOM,BRCHOLD,CO,,,TRUE,hold_room,
BSCC AIRPARK UNIT,BSCORTX,TX,,,,,
BSCC FLIGHTLINE UNIT,BSFLTTX,TX,,,,,
"BUFFALO CF, ALDEN,NY",NYBUFFC,NY,,,,,
BUFFALO HOLD ROOM,BUFHOLD,NY,,,TRUE,hold_room,
BUFFALO SPC,BTV,NY,,,,,
"BURLEIGH CO. JAIL, ND",BURLEND,ND,,,,,
BURNET COUNTY JAIL,BURNETX,TX,,,,,
BUTLER COUNTY JAIL,BUTLEKS,KS,,,,,
BUTLER COUNTY JAIL,BUTLEOH,OH,,,,,
